"REG","Region","LOCATION","Country","INC","Income group","VAR","Variables","TIME","Time","Value","Flag Codes","Flags"
"MENA","Middle East and North Africa","BHR","Bahrain","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",0.75,,
"MENA","Middle East and North Africa","BHR","Bahrain","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",0.75,,
"MENA","Middle East and North Africa","BHR","Bahrain","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",0.5,,
"ECA","Europe and Central Asia","HRV","Croatia","HIN","High income: nonOECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.13,,
"ECA","Europe and Central Asia","HRV","Croatia","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",0.25,,
"ECA","Europe and Central Asia","HRV","Croatia","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",0,,
"ECA","Europe and Central Asia","HRV","Croatia","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"ECA","Europe and Central Asia","CYP","Cyprus","HIN","High income: nonOECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.15,,
"ECA","Europe and Central Asia","CYP","Cyprus","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",0.5,,
"ECA","Europe and Central Asia","CYP","Cyprus","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",0.25,,
"ECA","Europe and Central Asia","CYP","Cyprus","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",0,,
"SSA","Sub-Saharan Africa","GNQ","Equatorial Guinea","HIN","High income: nonOECD","RP_1_1","Attitudes towards violence","2014","2014",0.53,,
"SSA","Sub-Saharan Africa","GNQ","Equatorial Guinea","HIN","High income: nonOECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.57,,
"SSA","Sub-Saharan Africa","GNQ","Equatorial Guinea","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",0.75,,
"SSA","Sub-Saharan Africa","GNQ","Equatorial Guinea","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",0.5,,
"SSA","Sub-Saharan Africa","GNQ","Equatorial Guinea","HIN","High income: nonOECD","RP_1_5","Laws on sexual harassment","2014","2014",0.5,,
"EAP","East Asia and the Pacific","HKG","Hong Kong, China","HIN","High income: nonOECD","RP_1_2","Prevalence of violence in the lifetime","2014","2014",0.09,,
"EAP","East Asia and the Pacific","HKG","Hong Kong, China","HIN","High income: nonOECD","RP_1_3","Laws on domestic violence","2014","2014",0.5,,
"EAP","East Asia and the Pacific","HKG","Hong Kong, China","HIN","High income: nonOECD","RP_1_4","Laws on rape","2014","2014",0,,
